2021-12-09,Apakah ada yang tau bahwa $GOTO dkk sudah bisa bikin untung. #BeliBUKA https://t.co/MbktUajhsb
2021-12-09,"Wah wah tau gak sih kamu kalau Oh ya katanya Investor Retail tuh gak tertarik sama IPO Bukalapak dan GoTo, Mengapa yaa gais  #BeliBUKA  https://t.co/qAVX8Xi8oq"
2021-12-09,Bagaimana BUKAnya?  464 dan 438 mantep ta?  Jualnya di atas 1500 sembari menunggu GoTo IPO
2021-12-08,BI: IPO GoTo Hingga Inalum Dorong Inflow Asing di 2022 https://t.co/1HF7kpoZ9r
2021-12-08,Uangnya ga dipake buat ekspansi bisnis tapi tar dipake buat beli pas ipo goto HAHAHAH plot twist kl beneran terjadi https://t.co/eegxDAHs8P
2021-12-08,IPO GoTo &amp; Risiko Karpet Merah Regulator untuk Investor Saham Ritel https://t.co/enSXq8kAOq
2021-12-08,"Analis menilai penawaran umum saham perdana ke publik atau IPO Unicorn, seperti IPO GoTo, akan diminati investor karena model bisnis yang familiar dan memiliki pangsa pasar yang besar.   https://t.co/Yfkt4WxjJX"
2021-12-08,https://t.co/9uB8DiysT6 Cek tokopedia ipo
2021-12-07,"$BUKA sekarang 1 lembar sahamnya dibawah 500 rupiah  wkwkw, tutuplapak ajalah.  Mending nunggu GOTO IPO &lt;3 awww https://t.co/mCPNr6vJaJ"
2021-12-07,Gapernah beli sejak ipo soalnya nungguin goto ajah👀🤝 https://t.co/Gm3NFd71IO
2021-12-07,"Temen gue dapet alokasi harga IPO saham GOTO dan gue dikasih jatah nitip ke dia, semoga gak lawak kayak sebelah aja lah 😄"
2021-12-07,IPO GoTo semakin dekat tabungan abis☹️
2021-12-07,"OJK Terbitkan Aturan Multiple Voting Share (MVS), Karpet Merah IPO GoTo dkk https://t.co/TNOeNQTnkh"
2021-12-07,Nanti nih pas GoTo IPO apakah nasibnya sama seperti Bukalapak? 🤔
2021-12-07,"kadang bias berargumen antara digital bank sama Bukalapak.. BUKA turun argumennya krn valuasi kemahalan, lah valuasi digital bank apa kabar? ini Bukalapak udh -50% dari harga IPO kira2 GoTo jiper gak yee.. tau2 gajadi IPO"
2021-12-07,will tokopedia ipo
2021-12-06,"Bgmana kalo below 400, bro apakah menarik ❓ tp maybe kembali ambyar ketika mendekati IPO GOTO 😁😁 https://t.co/rWPtTLi1ch"
2021-12-06,Gojek tokopedia jadi pake nama goto ga sih buat ipo
2021-12-06,will tokopedia ipo
2021-12-06,Gojek tokopedia jadi pake nama goto ga sih buat ipo
2021-12-04,"Resmi IPO di AS, Persaingan Grab dan Gojek Kian Sengit - https://t.co/IQsK7xeTXZ https://t.co/gtiEUoBWbT"
2021-12-04,Gojek gak mau IPO juga? Buruan daaahhh.
2021-12-04,"menarik nih thread ini. IPO nya grab ini kan kayak long-awaited curiosities sejak 2014 gitu yg kayak ""emang grab/gojek untung ya?? gmn sih struktur profitnya?? Grabfood/Grabcar yg lebih nganu??"" How time flies. Skrg udah terang benderang begini https://t.co/C2Bt4jxopo"
2021-12-03,Value grab menguap $17 milyar dollar dihari pertama IPO. Gojek harap2 cemas 😁 https://t.co/jsINEj8cQz
2021-12-03,"Grab IPO di bursa AS, bisa jadi tolak ukur nih walau nggak secara keseluruhan peer to peer dengan Gojek di Indonesia yang sudah juga ada di beberapa negara. https://t.co/HCZ6qFOIx3"
2021-12-03,"Resmi IPO di AS, Persaingan Grab dan Gojek Kian Sengit - https://t.co/IQsK7xeTXZ https://t.co/gtiEUoBWbT"
2021-12-03,"Resmi IPO di AS, Persaingan Grab dan Gojek Kian Sengit https://t.co/xR1b0o5fbe"
2021-12-03,"IPO Grab sukses, smoga IPO GOTO juga sukses. https://t.co/L7MfbxzePJ"
2021-12-02,"$grab sdh melantai di Nasdaq.   Wifey slalu pake grabfood. Suaminya kudu jd shareholder grab. 😎  Nanti $goto melantai di Nasdaq, ceritanya akan sama.   Gmn dgn Bukalapak yg melantai di BEI? No, i dont have a single stock."
